,End Date,Group,State,Condition Group,Condition,ICD10_codes,Age Group,COVID-19 Deaths
3202,03/27/2021,By Total,Idaho,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",35-44,13.0
3203,03/27/2021,By Total,Idaho,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",45-54,31.0
3204,03/27/2021,By Total,Idaho,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",55-64,75.0
3205,03/27/2021,By Total,Idaho,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",65-74,188.0
3206,03/27/2021,By Total,Idaho,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",75-84,303.0
3207,03/27/2021,By Total,Idaho,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",85+,353.0
3210,03/27/2021,By Total,Idaho,COVID-19,COVID-19,U071,0-24,4.0
3211,03/27/2021,By Total,Idaho,COVID-19,COVID-19,U071,25-34,6.0
3212,03/27/2021,By Total,Idaho,COVID-19,COVID-19,U071,35-44,20.0
3213,03/27/2021,By Total,Idaho,COVID-19,COVID-19,U071,45-54,59.0
3214,03/27/2021,By Total,Idaho,COVID-19,COVID-19,U071,55-64,163.0
3215,03/27/2021,By Total,Idaho,COVID-19,COVID-19,U071,65-74,414.0
3216,03/27/2021,By Total,Idaho,COVID-19,COVID-19,U071,75-84,606.0
3217,03/27/2021,By Total,Idaho,COVID-19,COVID-19,U071,85+,677.0
3220,03/27/2021,By Total,Illinois,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,13.0
3221,03/27/2021,By Total,Illinois,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,49.0
3222,03/27/2021,By Total,Illinois,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,135.0
3223,03/27/2021,By Total,Illinois,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,436.0
3224,03/27/2021,By Total,Illinois,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,1056.0
3225,03/27/2021,By Total,Illinois,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,2062.0
3226,03/27/2021,By Total,Illinois,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,2536.0
3227,03/27/2021,By Total,Illinois,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,2664.0
3230,03/27/2021,By Total,Illinois,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,4.0
3231,03/27/2021,By Total,Illinois,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,13.0
3232,03/27/2021,By Total,Illinois,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,26.0
3233,03/27/2021,By Total,Illinois,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,81.0
3234,03/27/2021,By Total,Illinois,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,270.0
3235,03/27/2021,By Total,Illinois,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,655.0
3236,03/27/2021,By Total,Illinois,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,841.0
3237,03/27/2021,By Total,Illinois,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,755.0
3240,03/27/2021,By Total,Illinois,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,0.0
3241,03/27/2021,By Total,Illinois,Respiratory diseases,Adult respiratory distress syndrome,J80,25-34,12.0
3242,03/27/2021,By Total,Illinois,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,25.0
3243,03/27/2021,By Total,Illinois,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,66.0
3244,03/27/2021,By Total,Illinois,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,157.0
3245,03/27/2021,By Total,Illinois,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,248.0
3246,03/27/2021,By Total,Illinois,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,161.0
3247,03/27/2021,By Total,Illinois,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,83.0
3250,03/27/2021,By Total,Illinois,Respiratory diseases,Respiratory failure,J96,0-24,11.0
3251,03/27/2021,By Total,Illinois,Respiratory diseases,Respiratory failure,J96,25-34,29.0
3252,03/27/2021,By Total,Illinois,Respiratory diseases,Respiratory failure,J96,35-44,89.0
3253,03/27/2021,By Total,Illinois,Respiratory diseases,Respiratory failure,J96,45-54,283.0
3254,03/27/2021,By Total,Illinois,Respiratory diseases,Respiratory failure,J96,55-64,688.0
3255,03/27/2021,By Total,Illinois,Respiratory diseases,Respiratory failure,J96,65-74,1441.0
3256,03/27/2021,By Total,Illinois,Respiratory diseases,Respiratory failure,J96,75-84,1753.0
3257,03/27/2021,By Total,Illinois,Respiratory diseases,Respiratory failure,J96,85+,1704.0
3260,03/27/2021,By Total,Illinois,Respiratory diseases,Respiratory arrest,R09.2,0-24,0.0
3261,03/27/2021,By Total,Illinois,Respiratory diseases,Respiratory arrest,R09.2,25-34,0.0
3262,03/27/2021,By Total,Illinois,Respiratory diseases,Respiratory arrest,R09.2,35-44,0.0
3263,03/27/2021,By Total,Illinois,Respiratory diseases,Respiratory arrest,R09.2,45-54,5.0
3264,03/27/2021,By Total,Illinois,Respiratory diseases,Respiratory arrest,R09.2,55-64,14.0
3265,03/27/2021,By Total,Illinois,Respiratory diseases,Respiratory arrest,R09.2,65-74,35.0
3266,03/27/2021,By Total,Illinois,Respiratory diseases,Respiratory arrest,R09.2,75-84,44.0
3267,03/27/2021,By Total,Illinois,Respiratory diseases,Respiratory arrest,R09.2,85+,56.0
3270,03/27/2021,By Total,Illinois,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,5.0
3271,03/27/2021,By Total,Illinois,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,1.0
3272,03/27/2021,By Total,Illinois,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,5.0
3273,03/27/2021,By Total,Illinois,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",45-54,23.0
3274,03/27/2021,By Total,Illinois,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,39.0
3275,03/27/2021,By Total,Illinois,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,93.0
3276,03/27/2021,By Total,Illinois,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,122.0
3277,03/27/2021,By Total,Illinois,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,135.0
3280,03/27/2021,By Total,Illinois,Circulatory diseases,Hypertensive diseases,I10-I15,0-24,2.0
3281,03/27/2021,By Total,Illinois,Circulatory diseases,Hypertensive diseases,I10-I15,25-34,29.0
3282,03/27/2021,By Total,Illinois,Circulatory diseases,Hypertensive diseases,I10-I15,35-44,98.0
3283,03/27/2021,By Total,Illinois,Circulatory diseases,Hypertensive diseases,I10-I15,45-54,316.0
3284,03/27/2021,By Total,Illinois,Circulatory diseases,Hypertensive diseases,I10-I15,55-64,931.0
3285,03/27/2021,By Total,Illinois,Circulatory diseases,Hypertensive diseases,I10-I15,65-74,1867.0
3286,03/27/2021,By Total,Illinois,Circulatory diseases,Hypertensive diseases,I10-I15,75-84,2183.0
3287,03/27/2021,By Total,Illinois,Circulatory diseases,Hypertensive diseases,I10-I15,85+,2641.0
3290,03/27/2021,By Total,Illinois,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,0.0
3291,03/27/2021,By Total,Illinois,Circulatory diseases,Ischemic heart disease,I20-I25,25-34,7.0
3292,03/27/2021,By Total,Illinois,Circulatory diseases,Ischemic heart disease,I20-I25,35-44,6.0
3293,03/27/2021,By Total,Illinois,Circulatory diseases,Ischemic heart disease,I20-I25,45-54,53.0
3294,03/27/2021,By Total,Illinois,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,225.0
3295,03/27/2021,By Total,Illinois,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,577.0
3296,03/27/2021,By Total,Illinois,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,853.0
3297,03/27/2021,By Total,Illinois,Circulatory diseases,Ischemic heart disease,I20-I25,85+,973.0
3300,03/27/2021,By Total,Illinois,Circulatory diseases,Cardiac arrest,I46,0-24,7.0
3301,03/27/2021,By Total,Illinois,Circulatory diseases,Cardiac arrest,I46,25-34,3.0
3302,03/27/2021,By Total,Illinois,Circulatory diseases,Cardiac arrest,I46,35-44,12.0
3303,03/27/2021,By Total,Illinois,Circulatory diseases,Cardiac arrest,I46,45-54,40.0
3304,03/27/2021,By Total,Illinois,Circulatory diseases,Cardiac arrest,I46,55-64,76.0
3305,03/27/2021,By Total,Illinois,Circulatory diseases,Cardiac arrest,I46,65-74,162.0
3306,03/27/2021,By Total,Illinois,Circulatory diseases,Cardiac arrest,I46,75-84,165.0
3307,03/27/2021,By Total,Illinois,Circulatory diseases,Cardiac arrest,I46,85+,214.0
3310,03/27/2021,By Total,Illinois,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,0.0
3311,03/27/2021,By Total,Illinois,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",25-34,2.0
3312,03/27/2021,By Total,Illinois,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",35-44,2.0
3313,03/27/2021,By Total,Illinois,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,16.0
3314,03/27/2021,By Total,Illinois,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,72.0
3315,03/27/2021,By Total,Illinois,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,264.0
3316,03/27/2021,By Total,Illinois,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,469.0
3317,03/27/2021,By Total,Illinois,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,807.0
3320,03/27/2021,By Total,Illinois,Circulatory diseases,Heart failure,I50,0-24,0.0
3321,03/27/2021,By Total,Illinois,Circulatory diseases,Heart failure,I50,25-34,6.0
3322,03/27/2021,By Total,Illinois,Circulatory diseases,Heart failure,I50,35-44,14.0
3323,03/27/2021,By Total,Illinois,Circulatory diseases,Heart failure,I50,45-54,46.0
3324,03/27/2021,By Total,Illinois,Circulatory diseases,Heart failure,I50,55-64,143.0
3325,03/27/2021,By Total,Illinois,Circulatory diseases,Heart failure,I50,65-74,354.0
3326,03/27/2021,By Total,Illinois,Circulatory diseases,Heart failure,I50,75-84,584.0
3327,03/27/2021,By Total,Illinois,Circulatory diseases,Heart failure,I50,85+,938.0
3330,03/27/2021,By Total,Illinois,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,8.0
3331,03/27/2021,By Total,Illinois,Circulatory diseases,Cerebrovascular diseases,I60-I69,25-34,2.0
3332,03/27/2021,By Total,Illinois,Circulatory diseases,Cerebrovascular diseases,I60-I69,35-44,5.0
3333,03/27/2021,By Total,Illinois,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,23.0
3334,03/27/2021,By Total,Illinois,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,93.0
3335,03/27/2021,By Total,Illinois,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,178.0
3336,03/27/2021,By Total,Illinois,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,243.0
3337,03/27/2021,By Total,Illinois,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,341.0
3340,03/27/2021,By Total,Illinois,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,2.0
3341,03/27/2021,By Total,Illinois,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",25-34,8.0
3342,03/27/2021,By Total,Illinois,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,17.0
3343,03/27/2021,By Total,Illinois,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,43.0
3344,03/27/2021,By Total,Illinois,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,112.0
3345,03/27/2021,By Total,Illinois,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,210.0
3346,03/27/2021,By Total,Illinois,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,300.0
3347,03/27/2021,By Total,Illinois,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,357.0
3350,03/27/2021,By Total,Illinois,Sepsis,Sepsis,A40-A41,0-24,3.0
3351,03/27/2021,By Total,Illinois,Sepsis,Sepsis,A40-A41,25-34,1.0
3352,03/27/2021,By Total,Illinois,Sepsis,Sepsis,A40-A41,35-44,23.0
3353,03/27/2021,By Total,Illinois,Sepsis,Sepsis,A40-A41,45-54,50.0
3354,03/27/2021,By Total,Illinois,Sepsis,Sepsis,A40-A41,55-64,139.0
3355,03/27/2021,By Total,Illinois,Sepsis,Sepsis,A40-A41,65-74,280.0
3356,03/27/2021,By Total,Illinois,Sepsis,Sepsis,A40-A41,75-84,333.0
3357,03/27/2021,By Total,Illinois,Sepsis,Sepsis,A40-A41,85+,275.0
3360,03/27/2021,By Total,Illinois,Malignant neoplasms,Malignant neoplasms,C00-C97,0-24,5.0
3361,03/27/2021,By Total,Illinois,Malignant neoplasms,Malignant neoplasms,C00-C97,25-34,1.0
3362,03/27/2021,By Total,Illinois,Malignant neoplasms,Malignant neoplasms,C00-C97,35-44,15.0
3363,03/27/2021,By Total,Illinois,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,34.0
3364,03/27/2021,By Total,Illinois,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,150.0
3365,03/27/2021,By Total,Illinois,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,273.0
3366,03/27/2021,By Total,Illinois,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,338.0
3367,03/27/2021,By Total,Illinois,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,233.0
3370,03/27/2021,By Total,Illinois,Diabetes,Diabetes,E10-E14,0-24,8.0
3371,03/27/2021,By Total,Illinois,Diabetes,Diabetes,E10-E14,25-34,31.0
3372,03/27/2021,By Total,Illinois,Diabetes,Diabetes,E10-E14,35-44,101.0
3373,03/27/2021,By Total,Illinois,Diabetes,Diabetes,E10-E14,45-54,301.0
3374,03/27/2021,By Total,Illinois,Diabetes,Diabetes,E10-E14,55-64,785.0
3375,03/27/2021,By Total,Illinois,Diabetes,Diabetes,E10-E14,65-74,1418.0
3376,03/27/2021,By Total,Illinois,Diabetes,Diabetes,E10-E14,75-84,1375.0
3377,03/27/2021,By Total,Illinois,Diabetes,Diabetes,E10-E14,85+,1060.0
3380,03/27/2021,By Total,Illinois,Obesity,Obesity,E65-E68,0-24,10.0
3381,03/27/2021,By Total,Illinois,Obesity,Obesity,E65-E68,25-34,55.0
3382,03/27/2021,By Total,Illinois,Obesity,Obesity,E65-E68,35-44,96.0
3383,03/27/2021,By Total,Illinois,Obesity,Obesity,E65-E68,45-54,184.0
3384,03/27/2021,By Total,Illinois,Obesity,Obesity,E65-E68,55-64,255.0
3385,03/27/2021,By Total,Illinois,Obesity,Obesity,E65-E68,65-74,299.0
3386,03/27/2021,By Total,Illinois,Obesity,Obesity,E65-E68,75-84,152.0
3387,03/27/2021,By Total,Illinois,Obesity,Obesity,E65-E68,85+,43.0
3390,03/27/2021,By Total,Illinois,Alzheimer disease,Alzheimer disease,G30,0-24,0.0
3391,03/27/2021,By Total,Illinois,Alzheimer disease,Alzheimer disease,G30,25-34,0.0
3392,03/27/2021,By Total,Illinois,Alzheimer disease,Alzheimer disease,G30,35-44,2.0
3393,03/27/2021,By Total,Illinois,Alzheimer disease,Alzheimer disease,G30,45-54,8.0
3394,03/27/2021,By Total,Illinois,Alzheimer disease,Alzheimer disease,G30,55-64,8.0
3395,03/27/2021,By Total,Illinois,Alzheimer disease,Alzheimer disease,G30,65-74,36.0
3396,03/27/2021,By Total,Illinois,Alzheimer disease,Alzheimer disease,G30,75-84,166.0
3397,03/27/2021,By Total,Illinois,Alzheimer disease,Alzheimer disease,G30,85+,433.0
3400,03/27/2021,By Total,Illinois,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",0-24,0.0
3401,03/27/2021,By Total,Illinois,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",25-34,0.0
3402,03/27/2021,By Total,Illinois,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",35-44,0.0
3403,03/27/2021,By Total,Illinois,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",45-54,4.0
3404,03/27/2021,By Total,Illinois,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",55-64,30.0
3405,03/27/2021,By Total,Illinois,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",65-74,183.0
3406,03/27/2021,By Total,Illinois,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",75-84,594.0
3407,03/27/2021,By Total,Illinois,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",85+,1313.0
3410,03/27/2021,By Total,Illinois,Renal failure,Renal failure,N17-N19,0-24,0.0
3411,03/27/2021,By Total,Illinois,Renal failure,Renal failure,N17-N19,25-34,8.0
3412,03/27/2021,By Total,Illinois,Renal failure,Renal failure,N17-N19,35-44,15.0
3413,03/27/2021,By Total,Illinois,Renal failure,Renal failure,N17-N19,45-54,34.0
3414,03/27/2021,By Total,Illinois,Renal failure,Renal failure,N17-N19,55-64,115.0
3415,03/27/2021,By Total,Illinois,Renal failure,Renal failure,N17-N19,65-74,214.0
3416,03/27/2021,By Total,Illinois,Renal failure,Renal failure,N17-N19,75-84,307.0
3417,03/27/2021,By Total,Illinois,Renal failure,Renal failure,N17-N19,85+,346.0
3420,03/27/2021,By Total,Illinois,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0-24,6.0
3421,03/27/2021,By Total,Illinois,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",25-34,1.0
3422,03/27/2021,By Total,Illinois,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",35-44,10.0
3423,03/27/2021,By Total,Illinois,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",45-54,13.0
3424,03/27/2021,By Total,Illinois,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",55-64,35.0
3425,03/27/2021,By Total,Illinois,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",65-74,65.0
3426,03/27/2021,By Total,Illinois,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",75-84,76.0
3427,03/27/2021,By Total,Illinois,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",85+,124.0
3430,03/27/2021,By Total,Illinois,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0-24,5.0
3431,03/27/2021,By Total,Illinois,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",25-34,38.0
3432,03/27/2021,By Total,Illinois,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",35-44,103.0
3433,03/27/2021,By Total,Illinois,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",45-54,274.0
3434,03/27/2021,By Total,Illinois,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",55-64,716.0
3435,03/27/2021,By Total,Illinois,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",65-74,1433.0
3436,03/27/2021,By Total,Illinois,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",75-84,1648.0
3437,03/27/2021,By Total,Illinois,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",85+,2052.0
3440,03/27/2021,By Total,Illinois,COVID-19,COVID-19,U071,0-24,36.0
3441,03/27/2021,By Total,Illinois,COVID-19,COVID-19,U071,25-34,138.0
3442,03/27/2021,By Total,Illinois,COVID-19,COVID-19,U071,35-44,342.0
3443,03/27/2021,By Total,Illinois,COVID-19,COVID-19,U071,45-54,932.0
3444,03/27/2021,By Total,Illinois,COVID-19,COVID-19,U071,55-64,2210.0
3445,03/27/2021,By Total,Illinois,COVID-19,COVID-19,U071,65-74,4306.0
3446,03/27/2021,By Total,Illinois,COVID-19,COVID-19,U071,75-84,5439.0
3447,03/27/2021,By Total,Illinois,COVID-19,COVID-19,U071,85+,6959.0
3450,03/27/2021,By Total,Indiana,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,5.0
3451,03/27/2021,By Total,Indiana,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,14.0
3452,03/27/2021,By Total,Indiana,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,61.0
3453,03/27/2021,By Total,Indiana,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,178.0
3454,03/27/2021,By Total,Indiana,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,591.0
3455,03/27/2021,By Total,Indiana,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,1154.0
3456,03/27/2021,By Total,Indiana,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,1609.0
3457,03/27/2021,By Total,Indiana,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,1478.0
3460,03/27/2021,By Total,Indiana,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,0.0
3461,03/27/2021,By Total,Indiana,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,0.0
3462,03/27/2021,By Total,Indiana,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,7.0
3463,03/27/2021,By Total,Indiana,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,26.0
3464,03/27/2021,By Total,Indiana,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,136.0
3465,03/27/2021,By Total,Indiana,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,376.0
3466,03/27/2021,By Total,Indiana,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,524.0
3467,03/27/2021,By Total,Indiana,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,456.0
3470,03/27/2021,By Total,Indiana,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,7.0
3471,03/27/2021,By Total,Indiana,Respiratory diseases,Adult respiratory distress syndrome,J80,25-34,5.0
3472,03/27/2021,By Total,Indiana,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,18.0
3473,03/27/2021,By Total,Indiana,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,63.0
3474,03/27/2021,By Total,Indiana,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,182.0
3475,03/27/2021,By Total,Indiana,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,265.0
3476,03/27/2021,By Total,Indiana,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,261.0
